period,mktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
2072,1.8222027095758317,0,1,40,0.0,0.024390243902439025,0.975609756097561,41,1400.0,17,11,6,361.34069705263704,0.7727555786196161,0.03880016267490305,0.20585751136323538,59339.25974553086,-3911.6621041924755,55427.59764133838,2044,6,903.8536585365854,36,5,7,35.57429549442437,0.6229314420803783,44.795859689476714,465.0336759688065,12.917602110244625,0
2073,2.0541723513855934,0,0,40,0.0,0.0,1.0,40,650.0,9,4,5,369.5915350308211,0.7690125477359521,0.042021769337656556,0.21054040214552563,66891.57816954618,-3055.487788736659,63836.09038080952,2045,7,925.1,35,5,7,35.36704344998178,0.6249240121580547,44.79905437352245,524.2267265533678,14.977906472953366,0
2074,2.188258397335774,0,1,39,0.0,0.025,0.975,40,700.0,8,6,2,369.1353021562887,0.7688761593016913,0.041151441472734085,0.21044367027880284,71274.42765215365,-2738.0185225211503,68536.4091296325,2046,8,926.1,35,5,10,35.34804490329827,0.625227963525836,44.76950354609929,558.5102771214263,15.957436489183607,0
2075,2.3118574810524417,0,0,39,0.0,0.0,1.0,39,1150.0,15,8,7,370.4861111111111,0.7662445803543227,0.056623931623931645,0.21170634920634926,75352.52993923762,-2216.5868440856552,73135.94309515196,2047,9,948.5641025641025,34,5,10,35.221631205673766,0.6282853566958698,44.68085106382979,590.261484524028,17.36063189776553,0
2076,2.77141666839253,0,0,39,0.0,0.0,1.0,39,850.0,12,5,7,369.8039760681743,0.7669337008642719,0.05728723258177015,0.21182432248813002,90395.90564786627,-1114.246934227107,89281.65871363916,2048,10,949.5641025641025,34,5,11,35.14448993647152,0.6292240300375469,44.58966565349544,707.8484578876116,20.819072290812105,0
2077,3.2512514633539826,0,0,39,0.0,0.0,1.0,39,700.0,8,6,2,370.4179214635957,0.7667039940276222,0.06563687720004707,0.21268668359446607,106122.51662808715,61.93640597237618,106184.45303405952,2049,11,950.5641025641025,34,5,14,35.034246055249305,0.6301627033792241,44.49848024316109,830.6996899985884,24.432343823487894,0
2078,2.846080847045321,1,0,40,0.025,0.0,1.0,40,950.0,14,5,9,362.1894125787462,0.7740043644298964,0.08367005310551878,0.21055601958101344,93237.98667939569,-1246.0376749129405,91991.94900448275,2050,0,927.775,35,5,13,34.759797010174054,0.6328267477203647,44.0307328605201,728.5092286379012,20.81454938965432,0
2079,2.5083730052565127,0,0,40,0.0,0.0,1.0,40,1200.0,15,9,6,361.24576198457845,0.7717403164211675,0.07698431010613782,0.21100257849611362,82288.51390272814,-2054.724618526079,80233.78928420207,2051,1,928.775,35,5,9,34.60024153403568,0.6346504559270516,43.853427895981085,642.5111468547117,18.35746133870605,0
2080,2.686346495309991,0,0,40,0.0,0.0,1.0,40,1200.0,15,9,6,359.26294014352976,0.7714402618657938,0.0789384154076811,0.2103422656302867,88188.0413311121,-1663.4609971771094,86524.58033393498,2052,2,929.775,35,5,14,34.559193398390825,0.6355623100303951,43.76477541371158,688.3365975423442,19.66675992978126,0
2081,2.4795802800654485,0,2,38,0.0,0.05,0.95,40,1600.0,20,12,8,340.739728704709,0.772340425531915,0.0149775136524255,0.1918124367916378,80457.0319881199,-2517.0185495963988,77940.0134385235,2053,3,930.775,38,2,10,36.573463375959435,0.614501679731243,45.25368248772503,631.6639453227273,16.622735403229665,7
