period,mktsize,meanmktsize,entries,exits,surviv,entryrate,exitrate,survivrate,firms,totresinv,totinninv,totimiinv,costshareinn,firmsres,firmsinn,firmsimi,hindex,div,gini,pcm,cs,totprofits,ts,maxage,minage,avgage,actfirms,inactfirms,profitablefirms,wmc,avgproxopt,price,totoutput,avgoutput,magtechshock
1976,4.284526249882632,4,2,0,35,0.05714285714285714,0.0,1.0,35,900,700,200,0.7777777777777778,11,7,4,342.5448432366675,0.4108543417366947,0.24045442674327555,0.1855168606440168,137385.20390744292,1512.1186271025158,138897.32253454544,1097,0,306.65714285714284,35,0,16,38.08462827544181,0.6047619047619048,46.75925925925925,1085.0166012434247,31.000474321240706,0
1977,4.674103452753793,4,2,0,37,0.05405405405405406,0.0,1.0,37,700,400,300,0.5714285714285714,10,4,6,325.95740880351167,0.4199512012012012,0.24280228364507161,0.1786107648594729,150422.05297626584,1706.2365230096234,152128.28949927547,1098,0,291.02702702702703,37,0,18,38.029781199351696,0.6055743243243243,46.29934210526315,1185.823121031697,32.04927354139721,0
1978,4.329618703726614,4,0,3,34,0.0,0.08108108108108109,0.9189189189189189,37,500,300,200,0.6,7,3,4,325.6543715894958,0.4196071071071071,0.242031857973104,0.17894562768825772,139456.3082777326,1182.9112872752069,140639.2195650078,1099,1,292.02702702702703,37,0,12,37.924249378982594,0.6067004504504505,46.189692982456144,1098.901852461753,29.700050066533862,0
1979,4.393621746381687,4,2,0,36,0.05555555555555555,0.0,1.0,36,600,300,300,0.5,9,3,6,331.47133528915424,0.41648478835978836,0.23930178098231347,0.18209714123289,141507.09563025832,1581.1091882903506,143088.20481854866,1100,0,300.5,36,0,14,37.78655943797376,0.6085069444444444,46.19932432432432,1115.104167895014,30.975115774861496,0
1980,4.387640248335174,4,0,2,34,0.0,0.05555555555555555,0.9444444444444444,36,950,700,250,0.7368421052631579,12,7,5,332.82440810697693,0.41630291005291004,0.24389492619698916,0.18323629501274202,141408.5157070538,1262.8411082972516,142671.35681535106,1101,1,301.5,36,0,13,37.66494788201375,0.609375,46.114864864864856,1113.956637372932,30.943239927025886,0
1981,4.26295981541809,4,2,0,36,0.05555555555555555,0.0,1.0,36,1000,700,300,0.7,13,7,6,331.4542239763212,0.41307870370370375,0.24462226652391728,0.18393977801365707,137725.58792760686,929.945573645492,138655.53350125236,1102,0,302.22222222222223,36,0,15,37.37978550596229,0.6125578703703703,45.80518018018017,1083.6223021793323,30.100619504981452,0
1982,4.044216309032007,4,1,1,36,0.02702702702702703,0.02702702702702703,0.972972972972973,37,900,800,100,0.8888888888888888,10,8,2,324.3422502260522,0.4165415415415415,0.24956624008756823,0.18139719584931696,130967.9364661725,195.68704418018524,131163.62351035269,1103,0,295.02702702702703,37,0,14,37.250017952032195,0.6137387387387387,45.50438596491227,1029.235312857814,27.817170617778757,0
1983,3.61514193188195,4,0,0,36,0.0,0.0,1.0,36,1200,700,500,0.5833333333333334,17,7,10,330.9746749941267,0.4146164021164021,0.24466568338249783,0.18514919937790225,117080.96777909802,-649.8329482630597,116431.13483083496,1104,1,304.02777777777777,36,0,14,37.072040929203546,0.6157407407407407,45.49549549549548,920.0699060870711,25.557497391307532,0
1984,3.580053307459887,4,0,1,35,0.0,0.027777777777777776,0.9722222222222222,36,1000,600,400,0.6,14,6,8,330.6185179440938,0.4139384920634921,0.24378893435069515,0.18535544065520376,116021.5452002321,-528.2257352631286,115493.31946496897,1105,2,305.02777777777777,36,0,14,36.993853440967214,0.6166087962962963,45.41103603603602,911.4420624819736,25.31783506894371,0
1985,3.5381088823167115,4,0,0,35,0.0,0.0,1.0,35,600,400,200,0.6666666666666666,8,4,4,338.115351355249,0.4100490196078432,0.23953994606712437,0.1889063786415538,114542.49877115588,145.71544342350262,114688.21421457938,1106,3,314.6,35,0,16,36.94043287089682,0.6172619047619048,45.543981481481474,900.2930992793148,25.722659979408995,0
